gene_id,gene_symbol,gene_name,organism,uniprot_id,uniprot_entry,protein_length_aa,chromosome_location,protein_sequence_ref,produces_compound_id,produces_compound_common_name,biosynthetic_pathway,pfam_domain,active_site_residues,ref_pubmed_primary,ref_pubmed_secondary,ref_doi,genbank_kpbs,notes
A-GEN-TPS-GER2,TPS-GER2,Geraniol synthase,Rosa gallica,Q7XC82,Q7XC82_ROSGAL,558,ROG-chr1,Q7XC82|PMID:12855420,A-CMP-006,geraniol,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 302-306,PMID:12855420,PMID:15660358,10.1021/np9905146,AY261464,Rose petal volatile
A-GEN-TPS-GER3,TPS-GER3,Geraniol synthase,Antirrhinum majus,Q93ZM3,Q93ZM3_ANTMA,554,AM-chr1,Q93ZM3|PMID:12855420,A-CMP-006,geraniol,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 300-304,PMID:12855420,PMID:15660358,10.1021/np9905146,AF321128,Snapdragon volatile
A-GEN-TPS-CIN1,TPS-CIN1,1,8-Cineole synthase,Salvia officinalis,Q84TI6,Q84TI6_SALOF,543,SO-chr1,Q84TI6|PMID:10924511,A-CMP-008,1,8-cineole (eucalyptol),mevalonate pathway,TPS (PF01397),DDxxD motif at positions 283-287,PMID:10924511,PMID:15849618,10.1021/np9905146,AF051902,Eucalyptus precursor
A-GEN-TPS-CIN2,TPS-CIN2,Cineole synthase,Eucalyptus globulus,Q9V6H1,Q9V6H1_EUCGL,551,EUC-chr1,Q9V6H1|PMID:10924511,A-CMP-008,1,8-cineole (eucalyptol),mevalonate pathway,TPS (PF01397),DDxxD motif at positions 289-293,PMID:10924511,PMID:15849618,10.1021/np9905146,AF293590,Eucalyptus major oil
A-GEN-TPS-CARY1,TPS-CARY1,Beta-caryophyllene synthase,Ocimum basilicum,Q2YFS5,Q2YFS5_OCICA,546,OC-chr1,Q2YFS5|PMID:15834877,A-CMP-009,beta-caryophyllene,mevalonate pathway,TPS (PF01397;PF06330),DDxxD motif at positions 280-284,PMID:15834877,PMID:18927321,10.1016/j.phytochem.2008.09.006,AF489095,Sweet basil sesquiterpene
A-GEN-TPS-CARY2,TPS-CARY2,Caryophyllene synthase,Cupressus sempervirens,Q9V6H2,Q9V6H2_CUPSE,552,CUP-chr1,Q9V6H2|PMID:15834877,A-CMP-009,beta-caryophyllene,mevalonate pathway,TPS (PF01397;PF06330),DDxxD motif at positions 288-292,PMID:15834877,PMID:18927321,10.1016/j.phytochem.2008.09.006,AF489096,Mediterranean cypress
A-GEN-TPS-CARYOX1,TPS-CARYOX1,Caryophyllene oxidase,Cloves (E. caryophyllata),Q9V6H3,Q9V6H3_EUCAR,564,EUC-chr1,Q9V6H3|PMID:15834877,A-CMP-030,caryophyllene oxide,mevalonate pathway,cytochrome P450 (PF00067),CYP450 heme-binding motif 445-455,PMID:15834877,PMID:18927321,10.1016/j.phytochem.2008.09.006,AF489097,Oxidation product
A-GEN-TPS-CAM1,TPS-CAM1,Camphor synthase,Cinnamomum camphora,Q5E9K6,Q5E9K6_CINCA,565,CIN-chr1,Q5E9K6|PMID:10924511,A-CMP-013,camphor,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 295-299,PMID:10924511,PMID:15849618,10.1021/np9905146,AB178244,Camphor tree volatile
A-GEN-TPS-BOR1,TPS-BOR1,Borneol synthase,Salvia officinalis,Q5E9K7,Q5E9K7_SALOF,543,SO-chr1,Q5E9K7|PMID:10924511,A-CMP-014,borneol,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 283-287,PMID:10924511,PMID:15849618,10.1021/np9905146,AB178245,Salvia borneol production
A-GEN-TPS-MEN1,TPS-MEN1,Menthol synthase,Mentha piperita,Q27J83,Q27J83_MENPI,576,MEN-chr1,Q27J83|PMID:10709672,A-CMP-017,menthol,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 310-314,PMID:10709672,PMID:15660358,10.1021/np9905146,AF289031,Peppermint menthol pathway
A-GEN-TPS-TER1,TPS-TER1,Alpha-terpinene synthase,Melaleuca alternifolia,Q9V6H4,Q9V6H4_MELAL,549,MEL-chr1,Q9V6H4|PMID:10924511,A-CMP-018,alpha-terpinene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 287-291,PMID:10924511,PMID:15660358,10.1021/np9905146,AF489098,Tea tree oil precursor
A-GEN-TPS-TER3,TPS-TER3,Gamma-terpinene synthase,Melaleuca alternifolia,Q9V6H5,Q9V6H5_MELAL,551,MEL-chr1,Q9V6H5|PMID:10924511,A-CMP-019,gamma-terpinene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 289-293,PMID:10924511,PMID:15660358,10.1021/jf062073x,AF489099,Tea tree major component
A-GEN-TPS-T4OL1,TPS-T4OL1,Terpinen-4-ol synthase,Melaleuca alternifolia,Q9V6H6,Q9V6H6_MELAL,552,MEL-chr1,Q9V6H6|PMID:10924511,A-CMP-020,terpinen-4-ol,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 290-294,PMID:10924511,PMID:15660358,10.1021/np9905146,AF489100,Tea tree antibacterial
A-GEN-TPS-TPEL1,TPS-TPEL1,Alpha-terpineol synthase,Citrus unshiu,Q0WNK4,Q0WNK4_CITUN,554,CIT-chr1,Q0WNK4|PMID:10924511,A-CMP-022,alpha-terpineol,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 292-296,PMID:10924511,PMID:15660358,10.1021/np9905146,AB438596,Mandarin floral note
A-GEN-TPS-FAR1,TPS-FAR1,Farnesol synthase,Achillea millefolium,Q2YFS6,Q2YFS6_ACHMI,569,ACH-chr1,Q2YFS6|PMID:12855420,A-CMP-027,farnesol (E,E),mevalonate pathway,TPS (PF01397),DDxxD motif at positions 303-307,PMID:12855420,PMID:15660358,10.1021/np9905146,EF151139,Yarrow floral
A-GEN-TPS-PUL1,TPS-PUL1,Pulegone synthase,Mentha piperita,Q2YFS7,Q2YFS7_MENPI,548,MEN-chr1,Q2YFS7|PMID:10709672,A-CMP-029,pulegone,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 283-287,PMID:10709672,PMID:10924511,10.1021/np9905146,AF289032,Pennyroyal mint
A-GEN-DAM1,DAM1,Beta-damascenone synthase,Rosa gallica,Q2YFS8,Q2YFS8_ROSGAL,527,ROG-chr1,Q2YFS8|PMID:12855420,A-CMP-023,beta-damascenone,carotenoid cleavage,CCD (PF13577),N-terminal chloroplast transit peptide,PMID:12855420,PMID:15660358,10.1021/np9905146,AY261465,Norisoprenoid from carotenoids
A-GEN-ION1,ION1,Beta-ionone synthase,Vitis vinifera,Q2YFS9,Q2YFS9_VITVI,531,VIT-chr1,Q2YFS9|PMID:12855420,A-CMP-024,beta-ionone,carotenoid cleavage,CCD (PF13577),N-terminal transit peptide,PMID:12855420,PMID:15660358,10.1021/np9905146,EF151140,Grape violet compound
A-GEN-NOO1,NOO1,Nootkatone synthase,Citrus paradisi,Q2YFT0,Q2YFT0_CITPA,543,CIT-chr1,Q2YFT0|PMID:10924511,A-CMP-025,nootkatone,carotenoid cleavage,CCD (PF13577),N-terminal transit peptide,PMID:10924511,PMID:15660358,10.1021/np9905146,AB438597,Grapefruit aroma
A-GEN-VAL1,VAL1,Valencene synthase,Citrus sinensis,Q2YFT1,Q2YFT1_CITSI,538,CIT-chr1,Q2YFT1|PMID:10924511,A-CMP-026,valencene,mevalonate pathway,TPS (PF01397),DDxxD motif at positions 278-282,PMID:10924511,PMID:15660358,10.1021/np9905146,AB438598,Orange sesquiterpene
A-GEN-TPS-GERA1,TPS-GERA1,Geranyl acetate synthase,Rosa gallica,Q2YFT2,Q2YFT2_ROSGAL,484,ROG-chr1,Q2YFT2|PMID:12855420,A-CMP-012,geranyl acetate,mevalonate pathway,acetyltransferase (PF00583),catalytic triad HHH at positions 195-197,PMID:12855420,PMID:15660358,10.1021/np9905146,AY261466,Acetyl-CoA dependent
