gene_id,gene_name,gene_symbol,organism,chromosome_location,protein_length_aa,uniprot_id,produces_compound_id,produces_compound_common_name,biosynthetic_pathway,pfam_domain,active_site_residues,ref_pubmed,ref_doi,notes
A-GEN-NOO1,nootkatone synthase 1,NOO1,Citrus paradisi,Chr6,512,Q9M8H5,A-CMP-025,nootkatone,carotenoid cleavage,TPS-CCD,His-295,A-GEN-NOO2,PMID:10924511,,grapefruit nootkatone synthase
A-GEN-NOO2,nootkatone synthase 2,NOO2,Valeriana,Chr6,515,Q9M8H6,A-CMP-025,nootkatone,carotenoid cleavage,TPS-CCD,His-295,A-GEN-NOO1,PMID:10924511,,valerian variant - partial sequence
A-GEN-VAL1,valencene synthase 1,VAL1,Citrus sinensis,Chr6,565,Q9M8H7,A-CMP-026,valencene,mevalonate pathway,TPS-CARY,His-335,A-GEN-VAL2,PMID:10924511,,orange valencene synthase
A-GEN-VAL2,valencene synthase 2,VAL2,Pinus,Chr6,568,Q9M8H8,A-CMP-026,valencene,mevalonate pathway,TPS-CARY,His-335,A-GEN-VAL1,PMID:10924511,,conifer variant
A-GEN-TPS-FAR1,farnesol synthase 1,FAR1,Achillea millefolium,Chr4,545,Q9M8H9,A-CMP-027,farnesol (E,E),mevalonate pathway,TPS-CO,His-320,A-GEN-TPS-FAR2,PMID:12855420,,yarrow farnesol synthase
A-GEN-TPS-FAR2,farnesol synthase 2,FAR2,Rosa,Chr4,548,Q9M8I0,A-CMP-027,farnesol (E,E),mevalonate pathway,TPS-CO,His-320,A-GEN-TPS-FAR1,PMID:12855420,,rose farnesol synthase
A-GEN-TPS-COST1,costunolide synthase 1,COST1,Costus speciosus,Chr8,598,Q9M8I1,A-CMP-028,sesquiterpene lactone (costunolide),mevalonate pathway,TPS-CARY,His-355,A-GEN-TPS-COST2,PMID:12781682,,costus germacrene A synthase
A-GEN-TPS-COST2,costunolide synthase 2,COST2,Saussurea,Chr8,601,Q9M8I2,A-CMP-028,sesquiterpene lactone (costunolide),mevalonate pathway,TPS-CARY,His-355,A-GEN-TPS-COST1,PMID:12781682,,saussurea costunolide synthase
A-GEN-TPS-PUL1,pulegone synthase 1,PUL1,Mentha piperita,Chr2,535,Q9M8I3,A-CMP-029,pulegone,mevalonate pathway,TPS-CO,His-318,A-GEN-TPS-PUL2,PMID:10709672,,peppermint pulegone synthase
A-GEN-TPS-PUL2,pulegone synthase 2,PUL2,Rosmarinus,Chr2,538,Q9M8I4,A-CMP-029,pulegone,mevalonate pathway,TPS-CO,His-318,A-GEN-TPS-PUL1,PMID:10709672,,rosemary pulegone synthase
A-GEN-TPS-CARYOX1,caryophyllene oxide synthase 1,CARYOX1,clove,Chr6,542,Q9M8I5,A-CMP-030,caryophyllene oxide,oxidation of beta-caryophyllene,Cytochrome_P450,His-285,A-GEN-TPS-CARYOX2,PMID:15834877,,clove oxidation enzyme
A-GEN-TPS-CARYOX2,caryophyllene oxide synthase 2,CARYOX2,Piper nigrum,Chr6,545,Q9M8I6,A-CMP-030,caryophyllene oxide,oxidation of beta-caryophyllene,Cytochrome_P450,His-285,A-GEN-TPS-CARYOX1,PMID:15834877,,black pepper oxidation enzyme
